"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Denmark,13824.64,11994.613,11737.06,11791.596,11515.53,12218.954,17150.903,21304.876,22525.652,21894.222,26914.854,27044.086,29632.327,27624.212,30023.075,35440.899,35703.887,32841.426,33405.3,33477.76,30777.178,30823.475,33304.059,40572.443,46684.835,48998.314,52213.64,58786.14,64826.681,58536.553,58240.45,61920.301,58559.563,61512.411,62700.908,53316.984,54699.182,57683.746,61456.783,59489.614,61075.932,69538.862,68122.941,68207.562,71214.061,76580.718,82705.782,85595.735,88205.205,91148.296,94085.266
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1076.215,1070.407,1091.835,1058.462,1109.77,1109.097,1078.124,1068.48,1061.623,1084.925,1088.219,1106.677,1121.167,1160.467,1212.849,1271.217,1359.487,1478.419,1692.43,1722.341,1837.212,2038.56,2190.283,2314.559,2470.925,2652.513,2803.689,2926.153,3038.268,3172.748,3182.318,3385.359,3506.369,3804.163,4114.138,4368.54,4680.792,4999.751,5285.877,5546.139,5871.733
Dominica,no data,1112.642,1217.573,1346.688,1495.272,1642.752,1864.889,2102.964,2377.904,2582.185,2819.552,3087.299,3287.848,3448.673,3713.105,3855.291,4104.42,4254.367,4526.684,4657.561,4681.178,4775.344,4680.264,4825.77,5165.218,5127.438,5497.251,5939.91,6463.44,6903.996,6980.957,7160.275,6994.866,7153.468,7388.583,7596.222,8089.25,7507.368,7981.044,8466.407,6872.22,7530.367,8193.119,8781.135,9325.422,9944.043,10458.779,10943.212,11432.372,11907.763,12403.405
Dominican Republic,1534.317,1677.447,1545.099,1562.13,2397.598,1022.611,1212.354,1245.272,1113.835,1230.744,1123.244,1365.232,1573.686,1741.669,1916.439,2141.061,2309.916,2495.032,2658.543,2674.828,2894.303,3007.381,3158.393,2460.554,2540.849,4008.356,4188.715,4803.473,5191.435,5147.191,5682.505,6054.833,6262.467,6400.965,6788.883,7119.639,7506.192,7783.612,8286.301,8614.967,7524.961,9023.429,10714.918,11279.604,11541.579,11919.42,12605.358,13419.213,14280.454,15191.195,16149.57
Ecuador,2015.082,2005.704,1947.085,1664.708,1724.507,1964.321,1404.716,1280.021,1186.36,1136.257,1127.222,1236.273,1321.881,1511.298,1785.609,1902.883,1957.419,2165.066,2169.513,1536.21,1404.638,1823.704,2097.116,2358.041,2633.053,2960.733,3298.408,3533.67,4257.891,4111.478,4578.936,5209.999,5682.119,6144.123,6422.124,5975.078,5907.928,6220.968,6293.459,6199.031,5469.758,6084.743,6555.526,6792.722,6939.335,7210.108,7383.917,7626.814,7883.003,8162.441,8470.447
Egypt,580.042,617.659,711.351,846.388,925.97,1049.33,1132.456,1585.217,1858.029,2266.442,1870.847,923.843,825.448,897.202,968.914,1098.086,1209.49,1327.405,1454.957,1518.197,1636.752,1566.199,1355.278,1252.404,1195.597,1331.362,1563.739,1862.164,2271.232,2578.884,2922.796,3077.343,3569.482,3583.854,3705.465,3933.927,3862.011,2592.707,2710.158,3214.301,3802.438,4145.939,4587.172,3743.608,3570.279,3191.08,3578.57,3852.652,4177.9,4524.134,4833.812
El Salvador,802.09,699.251,685.083,652.135,473.97,457.213,455.695,457.838,526.999,592.939,886.427,953.383,1040.783,1180.26,1343.935,1548.385,1651.305,1748.915,1859.725,1908.079,1982.86,2058.03,2115.424,2207.832,2285.678,2447.382,2665.625,2830.668,2983.245,2910.176,3040.099,3330.617,3497.9,3582.29,3665.986,3790.326,3901.339,4020.148,4183.551,4320.128,3997.174,4642.594,5074.617,5365.465,5579.655,5743.686,5932.866,6212.67,6510.144,6780.835,7081.242
Equatorial Guinea,123.403,109.806,121.292,126.408,130.117,205.657,241.443,284.263,296.908,253.241,312.102,299.071,351.662,343.493,245.881,333.846,527.121,965.017,777.254,1251.452,1885.985,2616.505,3105.658,5373.616,8187.817,10816.42,12744.023,15784.548,22831.933,16578.72,17167.174,21476.215,21570.068,20253.043,19276.253,11219.121,9200,9621.136,10129.619,8355.696,7045.629,8415.533,9155.152,7990.773,8029.117,8228.755,8377.946,8277.26,8283.348,8423.579,8647.061
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,268.192,167.084,195.44,219.091,263.808,270.574,283.919,274.584,238.508,245.162,227.498,258.933,315.55,300.697,321.219,340.334,301.238,415.601,501.424,642.502,693.804,596.754,786.54,603.193,655.424,557.857,580.845,566.731,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1194.185,1711.265,2720.996,3379.95,3686.89,4096.119,4151.424,4084.932,4513.019,5359.979,7218.163,8925.153,10428.693,12659.144,16765.784,18274.232,14757.1,14697.472,17552.466,17579.346,19310.675,20574.581,17723.954,18661.231,20844.174,23628.862,24023.899,23914.829,27969.745,28362.68,30272.75,31418.897,34041.287,37194.835,39128.954,41004.19,42958.626,44944.019
Eswatini,1291.365,1319.921,1140.49,1133.433,935.749,714.745,883.509,1116.728,1282.782,1267.946,1513.157,1529.275,1654.244,1696.987,1797.729,2097.849,1947.304,2044.34,1845.06,1785.343,1740.769,1532.447,1417.562,2162.138,2720.152,3102,3198.762,3344.139,3160.747,3421.988,4194.258,4529.958,4556.15,4258.901,4059.039,3667.484,3463.447,4115.891,4236.016,4167.13,3681.927,4230.468,4147.311,3985.408,4235.153,4409.528,4610.137,4752.484,4870.346,4982.268,5083.563
Ethiopia,227.616,228.061,233.306,251.399,229.991,260.757,262.316,271.537,272.448,277.391,284.636,304.279,310.307,186.665,160.749,151.063,163.498,155.766,137.366,128.578,136.056,131.565,123.874,132.704,152.16,181.49,218.637,266.894,350.57,373.199,341.103,377.694,510.537,548.869,622.592,707.975,790.789,822.704,839.861,948.851,969.014,974.103,1142.927,1511.357,1310.469,994.042,1123.609,1263.385,1429.865,1619.049,1827.573
Fiji,2056.073,2062.163,1941.771,1781.084,1828.856,1744.388,1954.085,1776.896,1672.492,1747.117,1959.194,2012.454,2208.958,2339.817,2590.933,2779.973,2975.914,2900.261,2270.075,2638.512,2274.643,2234.467,2463.316,3072.964,3596.695,3940.024,4050.9,4405.164,4553.695,3682.455,4010.982,4802.511,5022.15,5277.41,5622.351,5397.131,5658.236,6049.889,6269.882,5968.379,4692.746,4588.805,5459.654,5970.919,6467.915,6825.462,7170.018,7508.302,7867.445,8241.651,8636.866
Finland,11257.795,10990.447,11036.936,10545.058,10889.934,11488.754,14998.341,18632.076,22122.56,24040.639,28491.135,25650.711,22497.298,17641.392,20406.2,26322.115,25806.206,24750.37,26064.759,26236.007,24369.776,24998.587,26999.895,32954.317,37812.031,39142.224,41300.022,48586.821,53894.581,47538.607,46647.994,51174.768,47693.7,49804.351,50180.785,42625.16,43502.557,46109.916,49698.347,48395.834,48827.138,53203.799,50551.801,53043.995,53286.04,56083.74,59749.592,61667.584,63584.787,65743.835,68099.598
France,12623.85,11057.517,10433.377,9921.765,9357.211,9753.414,13487.79,16241.482,17650.437,17639.404,21735.528,21675.374,23775.543,22357.695,23505.585,26927.038,26883.799,24309.419,25024.875,24755.925,22502.094,22486.945,24295.367,29675.139,33876.29,34964.765,36685.03,41762.59,45753.56,41943.313,40988.558,44197.638,41150.451,42951.716,43277.417,36775.676,37081.496,38756.651,41539.756,40487.302,39230.928,43848.345,41095.77,44853.761,46187.295,48981.965,51707.603,53048.574,54515.019,56050.844,57606.464
Gabon,6093.615,5376.616,4930.527,4619.015,4346.388,4478.468,5735.355,4245.955,4581.144,4899.234,6815.634,5993.32,6015.511,5677.618,4293.942,4956.842,5552.917,5068.093,4161.617,4222.734,4477.321,4065.933,4210.284,5015.596,5837.617,6942.698,7271.093,8652.145,10418.276,7856.853,8933.306,10893.464,9903.41,9760.747,9746.786,7453.114,7082.218,7370.349,8198.56,8111.318,7289.453,9113.808,9478.244,9079.289,9257.978,9303.04,9647.005,9821.838,10029.468,10255.741,10484.125
"Gambia, The",1007.791,908.693,826.189,799.728,553.075,645.904,484.263,623.605,695.347,701.786,790.827,801.579,830.589,840.415,804.334,815.289,826.192,818.814,815.332,811.257,766.199,737.063,631.566,581.319,642.755,665.721,662.362,780.379,924.514,833.282,860.639,762.761,742.78,700.515,607.429,649.511,683.998,676.656,729.035,768.921,747.886,820.584,831.843,849.23,864.847,889.92,924.765,962.911,1004.082,1047.43,1097.173
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,172.501,413.486,688.363,818.054,869.519,690.373,763.707,820.006,875.188,1034.533,1338.086,1682.527,2052.257,2700.417,3419.915,2890.71,3269.917,4100.982,4518.061,4710.606,4833.664,4090.214,4142.174,4420.41,4800.794,4738.796,4308.286,5055.161,6773.539,8237.416,9141.846,10125.977,10886.113,11500.23,12138.292,12821.973,13539.997
Germany,11150.445,9363.773,9048.007,9058.272,8569.045,8710.65,12432.393,15467.993,16575.159,16291.592,20323.326,23538.989,26660.209,25697.119,27359.629,31918.986,30778.888,27254.29,27635.979,27216.943,24158.215,24122.365,25752.683,31074.429,35000.452,35592.346,37530.238,43021.701,47146.711,43173.674,43220.097,47621.991,44768.64,47282.485,49108.051,42109.327,43189.577,45881.456,49384.527,48177.607,47953.683,53151.541,50943.628,54793.074,56086.903,59925.317,63599.502,65580.908,67653.543,69713.379,71683.475
Ghana,3239.454,5006.386,5611.733,3786.463,1346.079,1169.016,1080.271,888.229,926.87,914.435,1031.664,1127.156,1091.486,875.974,790.464,901.888,933.683,933.36,991.413,1000.783,628.881,650.209,734.677,882.299,994.77,1176.627,1343.837,1545.724,1704.06,1493.287,1783.977,2055,2087.204,2294.796,1949.906,1722.771,1912.48,2012.288,2195.321,2186.659,2195.455,2445.187,2229.891,2383.904,2405.795,3193.071,3179.324,3227.161,3299.11,3408.629,3555.757
Greece,5865.653,5347.26,5545.699,4980.328,4827.409,4765.272,5592.106,6486.385,7526.494,7769.62,9544.71,10139.849,11077.903,10306.377,10968.169,12816.689,13459.426,13070.508,13075.654,13369.562,11826.517,12186.368,13789.85,18036.4,21468.468,22101.329,24452.035,28476.246,31740.794,29426.018,26679.741,25457.905,21557.251,21498.365,21412.642,17921.051,17901.38,18602.048,19867.086,19332.053,17839.122,20456.642,20942.384,23388.611,24716.307,27169.693,29412.165,30603.682,31734.494,32902.28,34128.969
Grenada,1245.62,1276.37,1346.874,1372.669,1477.916,1678.085,1872.462,2162.546,2408.732,2757.871,2887.011,3117.904,3192.22,3153.808,3272.547,3411.983,3632.676,3861.381,4370.62,4705.807,5056.978,5045.854,5192.154,5641.159,5721.585,6658.021,6672.843,7226.881,7844.193,7333.246,7340.342,7299.874,7433.912,7760.348,8333.757,9055.801,9572.093,10098.821,10419.126,10779.062,9222.709,9863.609,10697.777,11619.383,12067.443,12543.953,13041.07,13668.282,14279.845,14880.379,15506.145
Guatemala,1098.634,1170.417,1156.016,1170.152,1193.866,1374.177,724.449,818.067,864.066,971.834,834.889,989.323,1064.714,1129.395,1242.727,1362.351,1416.516,1564.034,1657.335,1525.164,1549.337,1648.803,1790.191,1843.551,1950.202,2153.123,2342.123,2565.803,2887.775,2672.89,2861.546,3205.721,3307.017,3443.66,3688.038,3893.117,4058.954,4323.226,4353.115,4511.059,4477.542,4911.934,5358.743,5757.518,6149.479,6478.185,6851.018,7285.866,7750.992,8249.089,8786.603
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,616.321,660.444,678.626,639.332,626.432,655.749,656.708,628.192,591.511,557.831,461.784,427.879,444.663,517.03,534.339,470.57,426.419,628.711,675.387,637.478,630.549,607.035,645.096,713.128,728.729,712.025,679.964,796.038,891.887,986.528,1008.687,1139.967,1334.939,1468.578,1571.553,1741.139,1909.001,2077.122,2262.279,2478.014,2672.255
Guinea-Bissau,370.185,463.692,516.549,570.682,388.702,559.368,534.912,444.504,406.033,478.384,571.817,787.213,843.597,636.881,344.118,725.815,676.103,628.438,517.661,496.411,327.943,338.362,374.5,435.072,447.804,482.181,467.998,543.408,672.251,613.569,644.344,775.206,688.497,711.927,712.826,707.897,748.089,864.141,894.667,836.954,838.847,928.35,907.623,1035.294,1105.343,1225.352,1341.663,1415.507,1488.131,1567.847,1651.796
Guyana,1101.855,1055.839,904.864,921.541,861.055,924.305,1053.703,982.258,1125.871,1146.242,950.968,1036.884,1145.783,1392.984,1626.898,1832.399,2048.527,2161.647,2035.856,2010.769,2017.2,2023.617,2092.961,2144.109,2232.996,2305.907,2551.768,2982.217,3329.637,3457.367,3837.303,4402.775,5360.276,5476.744,5402.703,5579.974,5796.819,6104.158,6120.536,6594.375,6952.701,10188.148,18591.944,21307.161,30962.252,31377.593,34306.679,39102.81,43220.83,47757.322,49669.672
Haiti,447.907,484.33,494.856,521.763,567.915,619.461,676.077,327.179,212.61,192.614,240.23,211.528,124.533,147.025,397.214,618.383,626.299,706.797,773.837,847.945,794.059,720.822,684.333,540.556,660.218,773.35,794.79,991.684,1074.359,1168.747,1175.199,1269.346,1316.496,1408.807,1408.669,1359.209,1263.434,1337.16,1441.864,1277.213,1235.476,1765.242,1643.221,1603.278,2040.6,2461.403,2443.684,2478.707,2491.158,2416.562,2411.898
Honduras,1080.431,1066.902,1091.787,1111.123,1183.298,1232.425,1287.141,1362.483,1469.405,1635.7,993.487,911.761,942.61,919.585,836.608,948.437,888.005,948.716,1023.397,1003.065,1080.511,1133.342,1133.902,1157.951,1217.312,1307.838,1429.977,1583.048,1739.627,1789.507,1904.033,2088.329,2143.719,2101.959,2205.684,2301.958,2341.45,2452.082,2506.539,2546.765,2348.662,2782.143,3052.617,3279.72,3480.546,3636.621,3698.501,3836.816,3990.713,4151.991,4316.572
Hong Kong SAR,5703.963,5995.182,6139.013,5590.161,6170.503,6490.372,7380.118,9015.195,10527.458,12012.634,13374.312,15297.577,17710.506,20065.68,22194.005,23070.541,24698.956,27214.595,25649.085,24969.005,25574.491,25166.902,24731.081,23856.482,24873.898,26551.769,28028.157,30494.551,31487.94,30593.991,32421.361,34955.147,36623.745,38233.352,40185.303,42325.352,43488.204,46025.665,48310.038,48277.982,46446.056,49848.567,47999.297,50617.438,54244.111,56843.908,58999.369,61261.196,63683.291,66434.905,69283.677
Hungary,2158.509,2214.35,2257.348,2053.096,1996.416,2029.581,2346.453,2591.3,2847.851,2919.225,3323.178,3361.207,3745.666,3883.74,4184.221,4505.914,4537.717,4601.357,4745.566,4794.713,4624.923,5274.516,6647.318,8399.771,10281.244,11200.063,11472.076,13920.455,15751.94,13040.321,13171.433,14191.149,12934.984,13708.545,14327.786,12759.182,13188.503,14716.129,16593.03,17002.758,16355.505,18991.056,18555.74,22301.861,23271.805,25916.328,28303.991,29866.768,31465.941,33204.355,35066.097
Iceland,15129.182,15449.046,14003.083,11857.373,12130.436,12506.275,16571.593,22776.756,24820.302,22627.388,25629.431,27159.576,27357.171,23725.669,24117.987,26682.487,27713.605,28594.02,31711.944,33033.225,32754.708,29373.803,32857.732,40089.583,48057.098,58405.183,58926.891,71375.076,57845.632,41370.919,43833.126,49364.915,47715.893,51437.01,56462.813,54796.212,64666.825,75367.097,77963.129,71496.364,62237.431,73220.805,79925.315,84425.32,86663.851,98149.915,108591.227,114326.096,120600.307,127216.581,134167.519
India,270.85,274.483,277.705,295.94,280.633,302.233,314.154,344.731,355.933,349.917,371.086,305.574,319.184,302.884,347.734,375.175,401.052,416.255,413.657,441.928,442.751,450.357,469.149,544.143,624.258,710.489,801.669,1021.887,992.519,1094.95,1347.519,1445.461,1429.322,1432.844,1553.884,1583.998,1707.509,1950.104,1966.255,2041.428,1907.043,2239.614,2347.448,2530.121,2694.738,2818.027,3051.301,3330.023,3637.641,3975.092,4345.822
Indonesia,673.239,736.992,741.946,659.474,672.201,658.217,610.234,562.902,621.934,696.874,770.757,847.573,907.767,1013.057,1115.613,1254.023,1394.497,1308.114,572.09,829.574,870.154,834.139,1002.907,1186.465,1279.721,1404.348,1765.794,2064.003,2416.785,2469.384,3177.453,3690.097,3739.917,3667.435,3532.669,3373.489,3604.99,3885.967,3945.583,4192.768,3919.465,4351.304,4784.207,4919.943,4958.385,5074.049,5397.79,5735.504,6121.908,6539.722,6990.331
Iran,2977.17,3033.663,3619.353,4345.159,4309.63,4630.286,5156.976,6673.417,7333.955,8706.499,13011.849,6646.072,1087.232,1368.224,1670.031,2370.109,3211.578,3684.502,4045.69,5370.756,7050.388,6254.541,2466.34,2872.169,3374.32,3983.041,4630.754,6017.799,6901.037,6955.196,8071.567,9609.214,6406.143,6421.321,6823.854,5971.81,5975.217,6263.722,4187.328,3035.117,2493.037,3656.385,4749.522,4915.374,4810.048,4074.444,4250.247,4664.634,5039.06,5293.013,5557.36
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,608.655,1373.738,1828.738,2321.258,3090.851,4472.118,3701.862,4473.71,5848.537,6692.576,7021.406,6704.313,5044.624,4656.709,5117.127,6037.885,6048.921,4547.33,5116.534,6818.152,6250.549,6276.526,5831.552,5872.907,6044.563,6257.171,6503.359,6754.497
Ireland,6254.151,5888.199,6080.034,5841.648,5593.549,5936.393,7995.636,9422.435,10368.508,10757.96,13649.034,13752.472,15336.662,14267.233,15460.16,19092.733,20787.855,22475.598,24210.028,26236.98,26187.495,28120.751,32482.159,40939.423,47387.991,50475.16,53737.841,60769.642,60989.707,51943.659,48580.832,52552.841,49310.534,52462.533,57111.364,64093.56,63870.733,71831.436,80475.227,81525.884,86217.597,103625.416,104721.031,106502.051,112356.379,129131.78,135247.398,139184.726,143595,148343.548,153367.559
Israel,6389.194,6721.629,7076.771,7728.28,7223.064,6596.109,7996.029,9397.154,11450.097,11452.909,13102.701,13995.633,15098.393,14783.921,16451.789,19025.207,20249.419,20501.524,20188.27,19833.438,21700.839,20957.718,19068.604,19631.733,20558.752,21271.627,22506.243,25702.988,30240.201,28482.937,31410.39,34488.9,33282.519,36996.131,38282.313,36152.474,37582.521,41030.159,42285.344,44106.474,44594.51,52280.982,54983.858,52146.476,54294.192,60008.972,64275.33,66005.451,67900.022,69790.167,71705.635
Italy,8511.792,7706.659,7610.37,7892.058,7797.171,8048.61,11397.445,14305.851,15845.543,16468.564,20536.935,21674.463,22988.054,18469.667,19043.086,20722.958,23135.807,21913.138,22395.127,22074.693,20205.515,20576.46,22473.552,27673.263,31451.559,32148.046,33602.692,37989.367,40968.981,37143.445,35963.743,38475.823,34926.415,35722.542,36022.564,30609.504,31357.601,32797.298,35042.793,33767.024,31956.874,36812.907,35672.007,39074.224,40224.012,43161.196,45883.138,47003.259,48259.625,49617.831,51032.695
Jamaica,1245.894,1344.512,1517.904,1322.687,972.602,901.153,1061.625,1188.663,1408.358,1629.782,2022.863,1846.479,1851.237,2307.693,2292.798,2729.187,3052.342,3434.235,3557.53,3563.575,3601.679,3621.311,3805.839,3679.513,3955.733,4351.469,4611.271,4954.622,5267.486,4624.153,5021.383,5470.905,5589.85,5374.083,5238.005,5488.985,5486.103,5769.269,6139.4,6218.412,5508.814,5832.058,6819.746,7754.694,7964.675,8404.912,8756.113,9093.589,9404.354,9726.741,10046.525
Japan,9671.861,10586.534,9782.353,10655.246,11210.518,11813.035,17457.069,21148.365,25506.113,25274.314,25809.663,29436.88,32007.708,36362.508,39953.203,44210.234,39164.322,35651.27,32436.929,36622.892,39172.971,34410.68,32832.296,35410.229,38307.103,37819.107,36021.9,35847.232,39992.06,41469.773,45135.796,48760.915,49175.035,40934.756,38522.771,35005.662,39411.424,38903.298,39850.331,40547.967,40159.866,40155.188,34088.755,33776.442,32443.024,34713.248,36391.381,37902.727,39734.955,41019.532,42701.902
Jordan,1773.849,1914.507,1958.735,1969.502,1902.443,1829.115,2237.853,2253.478,2015.788,1292.473,1202.925,1192.601,1397.279,1377.572,1477.449,1516.116,1530.654,1560.985,1685.036,1699.599,1725.576,1795.047,1890.254,1959.792,2127.613,2312.884,2599.815,2773.893,3414.521,3618.892,3914.701,4152.495,4392.657,4483.942,4261.906,4069.993,4009.059,4078.869,4152.263,4165.546,4004.321,4158.625,4326.991,4512.693,4692.842,4907.883,5148.701,5393.77,5646.088,5905.797,6172.251
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,168.645,304.85,751.981,1061.476,1358.805,1459.417,1480.092,1132.127,1229.001,1490.927,1658.031,2068.124,2874.288,3771.35,5291.55,6771.417,8513.567,7165.251,9070.576,11634.176,12386.972,13891.075,12807.805,10511.371,7715.442,9248.382,9813.28,9813.064,9121.988,10373.954,11484.417,13157.579,14459.336,14722.579,15527.082,16724.111,17787.408,18917.973,20030.818
Kenya,855.46,776.768,721.646,644.496,646.56,622.796,716.676,758.158,759.491,728.324,737.207,674.68,644.596,434.811,505.902,623.706,686.838,677.763,742.079,647.881,617.139,617.047,611.893,668.475,692.709,778.323,854.981,1028.226,1118.755,1123.268,1176.311,1178.599,1396.22,1490.422,1613.101,1625.176,1688.852,1805.398,1987.302,2107.735,2068.176,2208.691,2265.658,2099.499,2274.946,2549.284,2595.785,2621.449,2658.362,2748.96,2864.66
Kiribati,567.517,591.496,527.416,510.503,555.734,410.217,398.258,440.578,558.144,534.576,505.422,562.267,827.265,781.484,876.462,883.582,1031.874,1001.068,918.686,930.929,890.425,755.273,853.916,1082.547,1147.277,1231.148,1188.669,1432.089,1518.603,1410.095,1609.343,1877.755,1956.664,1886.873,1845.476,1742.421,1845.78,1959.95,2022.227,1847.108,1855.475,2351.782,2192.916,2303.257,2418.727,2481.332,2615.178,2689.556,2760.536,2835.845,2906.521
"Korea, Republic of",1744.756,1918.418,2032.027,2245.56,2468.702,2542.884,2910.824,3657.733,4888.718,5989.211,6812.886,7872.91,8386.948,9181.481,10729.637,13002.046,13864.865,12840.576,8572.751,11056.713,12716.99,11983.382,13637.337,15211.145,17107.739,20162.881,22596.681,25075.287,22291.166,19933.009,24069.073,26177.945,26600.549,28449.357,30667.091,30171.791,30825.524,33296.984,35363.952,33826.944,33653.202,37518.465,34822.406,35674.095,36238.64,35962.344,37523.285,39141.635,40801.769,42521.587,44262.422
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1506.094,1704.288,1807.197,2205.535,2274.678,2318.3,2400.14,2865.639,3025.013,2878.492,3013.162,3518.244,3453.93,3807.298,4037.742,3627.059,3885.542,4215.419,4674.29,4731.284,4674.732,5754.653,5786.65,6529.135,7057.15,8033.188,8972.373,9508.978,10065.735,10663.599,11305.347
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15825.24,14766.792,15088.376,16623.468,15330.442,12796.952,14296.611,17639.079,15992.659,16856.637,20584.985,24863.764,35990.561,43618.251,47539.015,53059.162,38156.094,39342.103,47440.107,50783.678,48543.741,43458.841,29195.283,26795.706,28552.15,31369.182,31549.877,25610.725,33824.862,38288.598,33663.122,31971.468,30805.156,31241.854,31809.078,32460.376,33090.714,33696.335
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,207.976,148.155,245.851,329.934,396.495,379.056,344.404,258.467,280.635,309.913,323.343,382.888,436.496,478.77,546.621,725.487,971.678,876.933,884.846,1131.471,1189.517,1295.225,1292.621,1132.843,1131.841,1254.51,1321.954,1466.956,1270.961,1390.9,1805.648,2191.134,2471.432,2789.586,2925.072,3065.057,3206.865,3360.713,3516.814
Lao P.D.R.,584.594,335.22,327.897,584.805,815.211,997.615,678.461,464.657,294.242,353.313,406.199,464.923,517.905,567.21,641.635,727.106,739.317,682.509,254.24,264.926,316.667,318.271,328.928,397.312,459.603,525.985,661.572,787.382,969.073,1032.328,1187.022,1397.003,1566.197,1813.802,1982.523,2124.256,2307.838,2437.127,2551.83,2602.623,2528.997,2495.962,2022.383,1979.79,2069.915,2174.391,2253.934,2330.076,2408.08,2491.784,2579.077
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,613.21,990.424,1671.291,2096.127,2348.382,2597.492,2882.142,3053.208,3260.181,3480.782,3987.891,4892.173,6075.411,7259.743,9180.485,13338.82,15647.205,11909.596,11086.477,12933.575,13270.873,14407,15131.397,13265.841,13768.519,15066.124,17195.706,17241.515,17483.696,20181.834,20282.275,22615.109,23242.742,25629.634,28024.242,29620.315,31158.634,32765.353,34421.471
Lebanon,1356.473,1269.352,853.614,1162.314,1349.451,1105.075,840.304,959.706,945.712,760.699,779.344,1197.909,1461.022,1946.912,2311.748,2770.619,3178.874,3782.132,4082.32,4040.828,3938.847,3955.314,4236.269,4325.581,4625.239,4629.975,4665.929,5162,5957.729,7149.809,7695.22,7914.089,8500.137,8255.236,7665.322,7802.702,8172.768,8680.307,9225.506,8808.242,4410.402,3537.129,4508.052,4409.357,5282.154,no data,no data,no data,no data,no data,no data
Lesotho,303.049,299.767,243.229,262.083,229.099,178.186,199.623,255.224,285.899,293.505,353.102,406.025,464.146,458.912,478.657,533.478,499.717,520.627,477.695,469.627,461.09,387.102,428.643,630.262,804.751,874.728,870.128,886.608,828.059,963.957,1164.833,1261.644,1199.56,1130.591,1182.067,1039.488,1029.076,1116.8,1124.843,1043.887,928.283,1071.522,986.621,950.347,974.349,1001.076,1024.099,1036.713,1062.155,1083.615,1137.832
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,303.143,305.909,311.768,231.891,286.104,293.471,333.151,388.154,464.437,470.218,505.363,582.614,646.662,716.576,708.816,691.369,709.824,706.239,677.356,623.887,589.81,667.17,739.665,799.279,851.188,904.221,955.666,997.363,1040.576,1088.143,1142.826
Libya,13449.648,11107.625,10575.644,9671.452,8681.163,8586.407,6733.969,6002.067,5981.627,6070.096,7424.17,8026.293,7950.512,6998.262,6391.134,7102.861,7608.817,7663.003,6171.767,7294.482,7625.01,6693.083,3956.483,4986.326,6180.388,8739.202,10561.378,11801.274,14762.577,10195.762,12478.014,8132.318,14728.068,12026.021,9168.285,7706.743,7817.631,10413.84,11773.86,10525.706,7058.334,5248.302,6386.468,6422.118,6995.786,6866.143,6971.67,7182.734,7386.962,7633.88,7884.526
Liechtenstein,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,82188.307,80762.07,85825.56,96555.82,107949.752,113559.707,123359.744,141579.601,154889.979,135353.996,152225.325,169898.766,159241.83,172148.763,178170.707,166618.286,164964.283,169867.002,174385.361,166126.24,164000.283,201297.542,185955.408,207075.459,210704.447,231713.063,246738.259,256104.606,265648.903,275532.129,286133.33
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1857.7,2343.379,2841.519,3179.097,3126.07,3297.833,3532.166,4148.234,5505.057,6724.743,7860.969,9216.84,12306.172,15009.647,11884.94,11846.807,14266.787,14297.004,15642.218,16473.748,14272.196,14927.805,16795.91,19258.807,19612.26,20407.379,23881.456,25102.667,27798.037,29378.609,32982.41,36225.11,38101.771,40216.917,42522.252,44994.234
