"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
"Bahamas, The",12291.741,12496.221,13749.496,14961.6,15630.102,16801.08,17854.136,19329.928,19687.5,21818.62,20460.303,19767.715,19417.216,18979.006,19660.918,20271.249,20974.532,21951.756,23300.816,25780.485,26601.368,26971.273,28357.927,27896.338,28056.572,30030.89,30594.671,31498.523,30787.585,28793.341,28725.135,28365.859,29895.418,28918.977,30441.264,32022.083,31811.467,32984.165,33618.059,34455.207,26612.553,30522.745,34801.709,37827.627,38791.831,39726.431,40409.228,41182.93,42167.519,43164.419,44194.441
Bahrain,10622.619,11531.448,11698.565,11590.104,11637.826,10615.067,8022.838,8391.422,10010.86,10078.887,10612.215,10688.039,10984.585,11770.05,12277.54,12659.112,12821.281,12949.994,12057.467,12729.094,14818.628,14484.805,14075.299,15101.705,16642.427,18729.72,20086.363,21796.88,24289.611,20292.469,21819.329,25032.809,26438.651,26989.76,26451.797,23734.075,23800.001,24784.752,26324.407,27259.726,24342.844,27147.808,30470.504,29290.112,29653.568,29252.835,29777.625,30474.266,31314.926,32251.876,33232.897
Bangladesh,311.093,322.318,294.02,277.489,303.3,317.511,318.062,339.17,355.592,378.07,398.05,402.354,400.912,395.867,411.91,450.133,471.268,479.354,488.077,491.461,483.217,480.724,490.919,532.343,563.21,572.014,610.469,668.54,760.65,841.252,935.755,1032.313,1057.884,1176.16,1340.289,1495.538,1679.021,1839.755,1991.739,2154.227,2270.348,2497.741,2730.846,2651.738,2618.677,2734.098,2960.203,3107.714,3336.836,3622.499,3943.179
Barbados,4155.956,4558.06,4748.161,5027.277,5465.395,5703.482,6242.192,6850.613,7260.688,8006.84,8002.166,8008.026,7685.763,8120.165,8436.868,8862.759,9456.705,9990.406,11408.029,11938.16,12271.786,12214.816,12389.628,12778.456,13744.668,15373.873,17097.168,19095.524,19477.377,18183.486,18376.607,18893.915,18583.31,18893.842,18935.288,18605.705,18704.689,19310.373,19654.52,20156.276,17951.935,18276.871,21624.512,23167.298,24648.429,25926.578,27175.05,28472.333,29811.268,31219.234,32700.049
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1252.792,1114.104,1533.721,1034.931,1429.059,1396.112,1514.669,1210.965,1079.61,1286.951,1529.813,1880.217,2459.175,3232.491,3979.115,4896.501,6590.856,5350.621,6033.415,6485.981,6951.407,7994.708,8333.161,5953.752,5037.653,5785.291,6357.962,6838.218,6536.527,7332.084,7990.348,7821.879,8344.628,9435.376,10015.607,10524.431,11114.054,11661.502,12195.169
Belgium,12529.407,10366.157,9128.627,8626.201,8244.885,8568.693,11873.863,14740.526,16008.714,16098.234,20120.031,20563.827,22823.138,21723.728,23624.579,28458.604,27535.287,24878.749,25399.222,25309.265,23136.511,23067.163,25044.331,30707.665,35497.552,36945.499,38841.785,44496.791,48493.275,45055.745,44460.655,47915.958,45028.566,47055.739,48129.389,41032.322,41918.104,44110.725,47627.406,46858.358,45933.801,51833.16,51136.196,54913.707,56220.689,60417.875,63896.432,65274.522,66859.404,68505.557,70369.82
Belize,1523.579,1584.006,1553.693,1593.323,1730.803,1670.287,1768.405,2015.273,2334.537,2623.361,2892.862,3075.681,3496.187,3669.537,3658,3781.017,3830.356,3795.287,3895.375,4113.114,4556.836,4576.71,4736.493,4856.653,5066.202,5198.495,5464.195,5710.295,5666.241,5357.376,5424.01,5577.698,5737.057,5956.861,6123.803,6148.204,6150.767,6102.103,6035.101,6166.947,5209.415,6081.048,7161.557,7551.652,7796.261,7896.841,8115.795,8267.045,8416.832,8564.828,8715.469
Benin,596.826,390.177,374.765,321.312,332.274,349.096,435.905,504.489,513.111,462.972,547.118,542.331,584.502,544.807,365.287,480.716,508.653,474.548,495.132,525.652,487.639,492.405,546.078,675.834,758.351,779.869,809.19,912.446,1060.486,1022.991,974.039,1059.227,1072.204,1168.944,1204.71,1002.52,1010.255,1060.339,1158.452,1154.817,1199.234,1319.528,1267.424,1394.58,1481.855,1635.236,1787.643,1883.774,1983.509,2079.171,2180.816
Bhutan,313.827,329.909,338.324,356.713,360.388,362.814,397.345,464.936,516.162,502.727,534.936,463.886,460.315,489.421,503.544,592.222,617.664,680.765,729.494,744.437,788.235,798.134,845.523,982.756,1089.525,1245.061,1310.353,1580.82,1981.936,1834.556,2178.851,2650.519,2741.08,2751.793,2678.721,2917.754,3016.073,3270.276,3491.905,3423.374,3358.656,3382.034,3674,3723.566,3920.639,4285.191,4710.109,5099.039,5529.081,6077.599,6649.2
Bolivia,695.535,615.66,668.55,619.896,631.152,668.921,640.94,683.625,712.146,715.525,723.431,776.711,803.547,793.646,805.183,886.368,956.965,1006.102,1057.72,1010.58,994.617,949.383,904.851,908.203,968.545,1037.176,1226.845,1383.894,1729.369,1769.441,1972.684,2368.523,2635.933,2938.421,3114.966,3069.319,3110.874,3388.523,3588.089,3591.403,3172.556,3449.205,3706.442,3748.093,3821.56,4585.184,no data,no data,no data,no data,no data
